1 0 5325
2 5325 14611
3 19936 1332
4 21268 5250
5 26518 2517
6 29035 3104
7 32139 6889
8 39028 6221
9 45249 9219
10 54468 11713
11 66181 2089
12 68270 6518
13 74788 5833
14 80621 10046
15 90667 7724
16 98391 241
17 98632 266
18 98898 227
19 99125 250
20 99375 1239
21 100614 9998
22 110612 3053
23 113665 1970
24 115635 1836
25 117471 1430
26 118901 1510
27 120411 1575
28 121986 1649
29 123635 3471
30 127106 2561
31 129667 15289
32 144956 7984
33 152940 3690
34 156630 3440
35 160070 6166
36 166236 2566
37 168802 3700
38 172502 2771
39 175273 9377
40 184650 1394
41 186044 191
42 186235 1942
43 188177 1412
44 189589 1846
45 191435 8179
46 199614 7530
47 207144 3501
48 210645 1655
49 212300 962
50 213262 4143
51 217405 3772
52 221177 15103
53 236280 4143
54 240423 6520
55 246943 3497
56 250440 3508
57 253948 1226
58 255174 4803
59 259977 772
60 260749 509
61 261258 7801
62 269059 2869
63 271928 3639
64 275567 2745
65 278312 1003
66 279315 250
67 279565 260
68 279825 11873
69 291698 5367
70 297065 1776
71 298841 22681
72 321522 6631
73 328153 9588
74 337741 3786
75 341527 1489
76 343016 3274
77 346290 1789
78 348079 4566
79 352645 1092
80 353737 1836
81 355573 2158
82 357731 222
83 357953 2642
84 360595 372
85 360967 1511
86 362478 1504
87 363982 2678
88 366660 1026
89 367686 340
90 368026 4588
91 372614 1295
92 373909 3929
93 377838 1351
94 379189 3139
95 382328 2634
96 384962 547
97 385509 1249
98 386758 1208
99 387966 601
100 388567 7427
101 395994 3880
102 399874 3727
103 403601 3479
104 407080 7021
105 414101 4934
106 419035 1672
107 420707 1606
108 422313 2049
109 424362 1354
110 425716 1367
111 427083 2309
112 429392 4504
113 433896 1550
114 435446 11570
115 447016 2065
116 449081 828
117 449909 930
118 450839 1071
119 451910 1836
120 453746 727
121 454473 11583
122 466056 1794
123 467850 2976
124 470826 3757
125 474583 961
126 475544 2221
127 477765 1240
128 479005 4774
129 483779 322
130 484101 7067
131 491168 1054
132 492222 1793
133 494015 2578
134 496593 1496
135 498089 1257
136 499346 3551
137 502897 1018
138 503915 3546
139 507461 3007
140 510468 520
141 510988 4848
142 515836 1245
143 517081 2703
144 519784 455
145 520239 4254
146 524493 532
147 525025 1498
148 526523 2137
149 528660 2807
150 531467 3187
151 534654 1387
152 536041 1545
153 537586 1147
154 538733 1462
155 540195 2361
156 542556 602
157 543158 1045
158 544203 1101
159 545304 6705
160 552009 2176
161 554185 1947
162 556132 6705
163 562837 6222
164 569059 3643
165 572702 646
166 573348 1852
167 575200 3096
168 578296 1273
169 579569 2316
170 581885 1128
171 583013 3495
172 586508 4127
173 590635 4343
174 594978 6303
175 601281 3770
176 605051 727
177 605778 4292
178 610070 4096
179 614166 552
180 614718 1014
181 615732 1599
182 617331 3670
183 621001 3604
184 624605 4819
185 629424 2713
186 632137 2094
187 634231 3146
188 637377 817
189 638194 7197
190 645391 962
191 646353 3163
192 649516 2400
193 651916 2689
194 654605 3421
195 658026 2565
196 660591 4086
197 664677 2057
198 666734 1877
199 668611 4451
200 673062 1438
201 674500 4440
202 678940 3897
203 682837 6680
204 689517 4546
205 694063 1816
206 695879 1285
207 697164 2864
208 700028 6459
209 706487 2554
210 709041 3463
211 712504 2728
212 715232 2292
213 717524 10515
214 728039 779
215 728818 9131
216 737949 6829
217 744778 2220
218 746998 2536
219 749534 2406
220 751940 2385
221 754325 1362
222 755687 1151
223 756838 2961
224 759799 10187
225 769986 1292
226 771278 3984
227 775262 1140
228 776402 472
229 776874 10811
230 787685 1851
231 789536 3379
232 792915 3358
233 796273 9708
234 805981 2200
235 808181 1127
236 809308 796
237 810104 1070
238 811174 8537
239 819711 3471
240 823182 6361
241 829543 4830
242 834373 5626
243 839999 1722
244 841721 5376
245 847097 1707
246 848804 1726
247 850530 6818
248 857348 2800
249 860148 1512
250 861660 2082
251 863742 2596
252 866338 3796
253 870134 225
254 870359 246
255 870605 237
256 870842 210
257 871052 251
258 871303 250
259 871553 250
260 871803 249
261 872052 252
262 872304 243
263 872547 225
264 872772 208
265 872980 213
266 873193 235
267 873428 232
268 873660 254
269 873914 229
270 874143 210
271 874353 216
272 874569 231
273 874800 225
274 875025 245
275 875270 246
276 875516 250
277 875766 246
278 876012 210
279 876222 238
280 876460 252
281 876712 232
282 876944 250
283 877194 225
284 877419 244
285 877663 249
286 877912 246
287 878158 253
288 878411 229
289 878640 256
290 878896 248
291 879144 251
292 879395 252
293 879647 246
294 879893 244
295 880137 239
296 880376 231
297 880607 216
298 880823 251
299 881074 243
300 881317 219
301 881536 5680
302 887216 8594
303 895810 2431
304 898241 1655
305 899896 2596
306 902492 3078
307 905570 3002
308 908572 6376
309 914948 6787
310 921735 8140
311 929875 3131
312 933006 2998
313 936004 3040
314 939044 1875
315 940919 4786
316 945705 1533
317 947238 3630
318 950868 1473
319 952341 7832
320 960173 3640
321 963813 3748
322 967561 2216
323 969777 3509
